image_id,street,citi,n_citi,bed,bath,sqft,price,price_sqft,counts_locations,average_price_price_sqft
0,1317 Van Buren Avenue,"Salton City, CA",317,3,2,1560,201900,129,2,152
1,124 C Street W,"Brawley, CA",48,3,2,713,228500,320,5,277
2,2304 Clark Road,"Imperial, CA",152,3,1,800,273950,342,1,342
3,755 Brawley Avenue,"Brawley, CA",48,3,1,1082,350000,323,5,277
4,2207 R Carrillo Court,"Calexico, CA",55,4,3,2547,385100,151,2,151
5,755 Brawley Avenue,"Brawley, CA",48,3,1,1082,350000,323,5,277
6,1100 CAMILIA Street,"Calexico, CA",55,4,3,2769,415000,150,2,151
7,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000,210,5,277
8,803 Chaparral Court,"Brawley, CA",48,5,2.1,2600,545000,210,5,277
9,2306 Lark Court,"Salton City, CA",317,4,5.1,3932,690000,175,2,152
10,38833 Gorman Post Road,"Gorman, CA",129,3,2.1,4044,1350000,334,3,231
11,8072 Cuddy Valley Road,"Frazier Park, CA",122,5,5.1,6247,1499000,240,36,195
